Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price
1,3.830295706,16,512,11.18514743,2.641094425,17395.09306
2,2.912832959,4,1000,11.3113718,3.260012222,31607.60592
3,3.24162706,4,256,11.85302268,2.029060648,9291.023542
2,3.806248453,16,512,12.28036009,4.573865273,17436.72833
2,3.268096586,32,1000,14.99087717,4.193472033,32917.99072
4,1.881347607,16,256,11.94395768,4.840268106,9543.71998
3,2.9407209,32,256,11.71324635,4.344846438,10390.13732
3,3.016787616,4,256,15.58831485,2.941119536,9214.484506
3,2.560326678,4,512,15.0263317,2.743620076,16372.17528
2,3.341110589,32,512,13.61194533,4.093148923,18501.83273
1,3.835917537,4,1000,14.29585863,3.092338325,31967.60763
3,3.813921282,32,512,12.87190412,3.698645047,18534.10863
2,2.627098429,8,512,13.89500252,2.018772413,17495.98364
4,1.783095115,16,256,14.04003589,2.185657105,9731.982415
1,3.962102997,8,256,13.32342363,3.606103824,9831.389962
4,3.597245216,32,256,16.43943326,3.698214939,11038.92813
1,1.811656703,16,256,11.09637119,4.254358833,8971.512505
2,3.802104707,32,256,15.69302758,2.395895959,10915.05717
5,3.674740905,16,256,11.74629699,3.539549251,9637.891638
1,2.797095143,16,256,15.78528416,2.583342933,9593.110592
4,2.978188589,16,1000,14.69547149,2.279588359,31965.35661
2,2.49750676,16,1000,16.05966855,3.231487382,32025.83669
1,1.636904097,32,1000,11.58508595,2.490009944,32764.27443
5,2.337993104,16,1000,14.3538838,2.665345935,32114.8208
5,3.507133621,16,256,14.00652728,2.95266374,9929.514356
3,1.511580058,8,1000,15.2371591,2.778165202,31623.81423
3,2.333747929,4,256,14.20574331,2.262773892,9264.933977
4,2.495421734,4,1000,14.2444074,2.269748735,31549.79985
1,2.843489007,8,512,13.57757566,2.579748246,16729.55088
1,3.799639041,8,1000,12.85300654,2.151677564,31747.60461
3,2.365864986,32,1000,13.89358617,3.879371059,32817.51658
1,2.367383005,32,256,11.71095415,2.86198015,10605.76646
1,3.34375312,32,1000,16.76908003,2.839237903,32810.02391
5,2.630544852,8,512,15.28646458,2.995994883,17059.60928
3,2.061512057,8,256,16.7148027,3.988388823,8973.589686
2,2.63109879,16,256,12.36036429,4.611901644,9912.491625
3,1.852142551,32,1000,16.27604612,4.277260798,32801.64628
2,1.940967466,32,256,15.85273991,4.182587691,10174.19521
5,2.745919432,32,256,15.06291447,3.453173557,10325.36473
4,2.547313624,4,256,14.75017512,4.081416671,9221.138435
1,3.787114753,16,256,12.89929799,3.658287104,10233.78582
5,2.405984748,32,256,15.89846471,2.648751585,10333.32156
1,2.951470876,32,256,14.00909277,2.625765103,10781.5392
4,3.08066072,32,512,11.42534946,2.889176021,18167.29983
4,1.532736141,4,1000,12.87717897,4.732408013,31381.40555
5,3.15884343,4,512,16.61178259,3.642244521,17124.22007
4,1.945089917,8,256,16.10408156,4.201716131,9280.142422
2,3.902675794,16,256,16.89143419,3.039676279,9701.088818
4,1.871656819,8,1000,14.7679603,3.223147312,31673.69623
1,2.536560309,16,512,12.48506044,2.376696736,17493.65016
1,1.71337417,4,1000,11.9768903,2.513884873,31339.15974
1,3.99218563,32,512,12.12148664,4.482069664,18495.18097
1,2.755487526,8,256,11.11877395,3.754515895,9140.170448
2,2.988462543,32,1000,13.34409267,3.012597398,33151.04094
3,1.667691193,8,1000,12.14856608,4.408553627,31612.05197
5,3.374901176,4,256,13.46993276,2.739559717,9081.898738
1,2.024763983,4,1000,16.60996659,4.928098096,31650.73015
4,3.745135724,4,512,13.58324126,3.034452823,17076.68133
1,2.012849101,8,512,16.26790698,3.011932862,16983.63602
4,1.976719302,16,512,14.6330286,2.935735717,17283.37601
4,1.59137417,8,512,12.48278933,2.366334548,16788.6686
1,2.680167363,16,256,13.13512856,2.333411442,10029.58177
2,2.912102833,8,1000,11.50351721,3.944315104,31879.66276
4,1.664271599,8,512,13.00077556,4.625354134,17008.98571
4,3.438819042,4,256,15.06524567,4.371561531,9362.265977
1,2.633222087,32,1000,11.43266656,2.423322782,33008.89887
4,2.810975673,32,1000,12.23240845,3.636746365,32703.61323
4,2.601906867,16,256,13.28864625,2.316774638,9859.675148
1,2.501907652,32,256,16.89229722,2.135883931,10566.17103
1,2.899100828,8,512,15.70917094,3.969157578,16702.35101
5,1.888100615,8,1000,15.40092048,3.605457001,31232.36363
2,1.954820326,4,1000,11.69714574,2.246071056,31169.85051
2,3.654464053,4,256,15.68597536,2.104817739,9486.594937
4,3.865288655,32,1000,15.71161287,4.96926924,33005.18134
2,2.433273291,16,512,14.60661617,2.090063996,17299.66299
4,2.176861683,32,1000,16.94217069,3.333584759,32993.53209
5,3.109998858,32,256,12.95152344,3.513857074,10514.88925
1,2.521835428,32,256,16.64763469,2.351840443,10859.96282
1,1.563465889,32,512,16.48838669,2.507185335,18310.41381
1,1.890381493,8,512,11.06888396,3.055415019,16833.27609
2,3.289930572,16,1000,13.70069916,4.285027629,32339.84211
5,3.147309855,8,1000,16.8626254,3.521247272,31954.9501
2,1.567739981,16,256,11.61872817,3.913705624,9437.652448
2,2.054930405,4,512,14.28670817,4.955523665,16879.49194
5,2.077686991,32,512,16.87374504,4.304016306,18371.75255
5,3.179731859,8,512,14.33297254,3.303084494,16959.08793
5,1.549276344,16,1000,12.13889182,3.339325765,31849.94958
5,1.760271455,4,512,14.49309938,3.856316231,16691.85388
1,3.499790213,4,256,12.22664344,3.996095625,9454.453849
3,1.946361655,32,256,14.11822558,3.502132778,10327.84384
3,3.13186527,16,1000,11.44425331,3.934583668,31996.36022
5,2.095456953,8,1000,14.63289602,2.070597483,31624.84327
3,1.748603482,32,512,14.10073963,3.288868592,18295.11865
3,2.107930477,8,1000,15.44096821,2.836814228,31362.16189
5,3.30566733,4,256,14.78420283,2.387523336,9107.981058
3,3.63924117,8,512,14.29763761,2.298639538,17146.71361
2,3.575549661,8,256,15.1386731,3.809576497,9491.272215
4,2.492958824,32,512,11.86365148,3.570801641,17807.04022
4,3.170212841,8,1000,14.57215797,2.760752351,32097.51726
5,2.012460739,32,512,12.03266362,3.412850176,18042.9556
1,2.232869326,4,512,16.55313325,3.476696946,16746.84866
5,3.740839546,32,256,11.41000463,2.585026941,11055.04524
1,1.532504809,32,256,13.5822485,3.956279186,10462.14184
4,1.713771327,16,512,15.17478487,4.342758069,17155.73801
5,2.019715638,8,1000,13.74813327,4.374390623,31568.08346
2,1.56633051,4,1000,11.55257152,3.807409492,31197.89601
3,1.953588588,32,256,14.3202741,3.534915748,10711.44421
1,2.957603902,4,1000,14.84979145,2.183021429,31533.20155
3,2.553561376,16,256,15.22275387,2.863493897,9478.120505
3,3.731679278,8,1000,13.23955889,2.27981434,31512.88407
5,3.543608904,32,512,14.38195983,4.891469483,18702.47855
3,2.354543379,8,256,13.70411885,2.405240439,9143.215709
2,2.148558584,16,256,15.03233623,2.45532623,9819.84751
3,2.44923102,16,512,14.5013418,4.668729855,17407.53843
5,2.975737356,4,256,14.15453732,4.83178485,9126.589412
2,2.170159102,32,1000,12.4971462,4.297487118,32689.03039
4,3.06037227,4,1000,11.01211111,2.016214771,31828.8301
3,2.52352913,16,256,12.04449005,2.004038813,9415.942553
5,2.880117952,8,1000,11.70239625,3.134302309,31601.43745
4,2.590316323,4,256,13.69450847,2.43018611,9328.964725
4,2.236164399,4,512,14.6735489,2.055158426,16523.52327
1,3.871133267,8,256,12.27851005,3.392200068,9829.331415
2,3.409014485,4,512,16.63434258,4.829185692,17204.64783
3,1.850282939,8,1000,11.04009278,2.971458725,31515.50299
5,3.67116994,32,512,15.63380609,3.983422035,18366.44451
1,2.718577996,8,1000,14.75122862,3.956706059,31416.85988
2,3.736380567,32,256,13.24132881,2.753240311,10905.97947
1,3.49963814,8,1000,11.30293367,3.951275746,32336.20253
2,2.563033761,16,256,14.76491943,2.637001923,9790.713629
2,1.556173271,16,256,13.31368108,2.366022241,9168.638971
3,2.171693398,32,512,16.61760284,4.104149857,18277.15254
2,2.854085537,32,512,14.25194045,2.340322451,18464.50529
1,3.08369555,16,512,16.63790907,4.990727656,17376.01953
2,2.144719214,32,512,12.32290216,2.550357203,17980.79593
3,1.848390185,8,1000,15.35435546,3.782425588,31389.46524
3,3.587325592,8,1000,14.70349413,3.234123714,31772.92099
1,3.961005452,16,1000,15.43644938,2.379159267,32342.70586
4,2.814225456,4,256,12.28800718,2.083531723,8995.589696
4,1.929198215,8,1000,14.9899671,3.868196847,31299.78947
2,2.180768316,32,1000,13.98824236,4.420272691,32806.59086
5,1.545976691,4,1000,15.45694985,4.526046985,31236.54146
2,3.785747016,4,512,12.96226786,3.448140419,16954.665
1,1.794377707,8,1000,16.34034215,4.332366402,31558.99666
1,2.941291189,8,256,11.50580789,4.0185414,9054.15384
1,2.185138052,4,512,15.84313591,4.172763582,16824.80328
1,2.885445006,4,256,16.16791775,3.477797016,9162.531746
1,3.128550971,16,1000,15.90351387,3.900235221,32252.67601
3,3.574354509,32,512,14.07635837,4.416577741,18492.16211
4,2.016053179,16,256,13.63030988,3.193652527,9850.110564
1,1.527489572,8,1000,16.97757372,4.417936703,31521.46091
5,1.842214075,16,256,12.37503171,3.776050528,9771.52671
5,3.750046605,16,256,14.2812558,2.497703073,9926.274778
5,3.684725194,16,256,15.02405315,2.074052472,9941.850074
5,2.993532755,16,1000,15.20520582,3.088260801,32153.74242
3,3.001292151,32,1000,12.22414799,3.640088985,33063.16548
5,3.162591686,32,256,14.92396455,4.519461057,10791.99483
1,1.938428197,4,512,15.9102174,2.38245704,16769.07979
2,3.786029865,8,512,11.30011146,4.400619043,16953.65494
5,2.546926312,16,1000,16.46912776,4.589027138,32215.48938
3,2.457846321,4,1000,11.17702433,2.452062461,31218.3082
3,2.797294263,4,1000,13.13582619,4.554782958,31293.44807
5,1.617414917,4,1000,11.09487918,4.974360704,30967.93994
2,1.915708422,32,1000,11.46287101,4.180516493,32653.9602
5,3.345084041,16,512,16.46700971,4.354309045,17857.15877
3,1.70699667,16,1000,13.12916498,4.983245803,31661.07807
4,3.007880274,8,256,13.54862918,3.816443752,9750.099392
1,2.113372774,16,256,12.29206629,2.923659146,9801.241334
3,2.473239035,16,512,14.58257462,4.512592502,17108.25296
5,2.221734342,4,256,14.56881929,3.843457333,9000.733644
1,2.389181791,8,512,13.23320235,3.743586271,16757.01449
5,3.297614763,16,512,12.99820923,2.760906667,17684.86916
5,2.242804289,32,256,16.30978585,4.269002809,10314.43388
4,2.916011601,16,1000,13.29970544,2.245001828,31802.52252
1,2.690126005,4,256,13.96100595,4.772861212,9084.371553
1,3.159177913,32,256,12.69982857,2.977470382,10869.93627
4,3.842074348,4,512,15.72061702,2.383323958,17080.49073
3,3.331430243,16,256,13.38468894,3.327099599,9960.397604
5,2.037350946,32,512,14.08166628,2.127409728,18215.27564
2,1.577957838,8,1000,12.52014302,4.053878583,31123.00052
5,2.155660111,8,1000,16.92595755,4.708116531,31442.69518
5,2.987694827,32,1000,12.74897445,4.511789021,32908.6934
3,1.628564534,32,256,15.62445519,2.38210842,10282.90993
5,2.740915618,4,512,13.5649739,2.378813411,17196.58538
4,2.992107122,32,1000,12.23730443,4.440303447,32653.1
4,2.335609727,4,512,15.79831258,4.772762824,16613.50855
1,3.427280509,16,512,13.00164073,3.38200949,17629.77767
2,1.766495633,4,1000,16.19116008,3.496913351,31216.57453
5,1.687844454,32,1000,16.49154311,2.954786124,32159.48537
5,3.320471891,32,512,16.15894301,4.682795355,18787.38153
3,2.738728291,16,1000,11.21004749,3.934708716,31817.73844
4,3.221005991,32,512,15.72424007,2.864754732,18502.217
2,2.587068347,32,512,13.4680368,2.896348613,17967.13268
1,2.116005083,8,1000,16.24233752,4.673600219,31428.70478
4,3.547755794,8,256,14.82772558,2.040902072,9241.110049
1,3.498539697,16,1000,16.0018588,2.968179718,32141.82464
3,3.236741177,4,256,13.99659062,3.663070044,9141.792984
3,2.180362843,8,512,14.21015303,2.444652386,16929.31597
5,2.975576667,4,512,11.86632579,2.276296263,16795.16512
2,2.402434742,32,256,15.70392415,4.445828993,10241.80318
1,1.728955183,8,512,13.51633767,4.683213166,16724.50569
4,3.793283939,16,256,14.00048071,4.470819262,10263.36034
3,1.842046577,16,256,15.71058628,4.696363669,9881.335514
5,3.875593385,16,512,14.5930724,3.659335913,17781.52417
5,2.615014432,8,256,12.20659236,4.436774363,9435.386839
1,1.962832322,4,1000,14.54139595,3.152127915,31764.03766
3,2.854752368,32,1000,13.44579715,3.998803584,33014.12791
